counter,start_time,end_time,injection_type
1,1704645052754,1704645059881,disk
1,1704645059881,1704645067363,cpu
1,1704645067363,1704645075129,memory
2,1704645102143,1704645108614,disk
2,1704645108615,1704645114807,memory
2,1704645114808,1704645121775,cpu
3,1704645179687,1704645187443,cpu
3,1704645187444,1704645193397,memory
3,1704645193398,1704645198603,disk
4,1704645256924,1704645262790,cpu
4,1704645262791,1704645269359,disk
4,1704645269360,1704645275465,memory
5,1704645341495,1704645347278,disk
5,1704645347278,1704645352834,cpu
5,1704645352835,1704645360820,memory
6,1704645420844,1704645427696,disk
6,1704645427696,1704645433973,cpu
6,1704645433974,1704645440795,memory
7,1704645442781,1704645448928,disk
7,1704645448928,1704645456662,memory
7,1704645456662,1704645464643,cpu
8,1704645518972,1704645526946,disk
8,1704645526947,1704645532577,memory
8,1704645532578,1704645539543,cpu
9,1704645586447,1704645591719,disk
9,1704645591720,1704645598995,cpu
9,1704645598995,1704645604720,memory
10,1704645604905,1704645610788,cpu
10,1704645610788,1704645618698,disk
10,1704645618701,1704645625851,memory
11,1704645685865,1704645691107,disk
11,1704645691108,1704645698589,cpu
11,1704645698590,1704645704231,memory
12,1704645738599,1704645745276,memory
12,1704645745277,1704645751430,disk
12,1704645751430,1704645758697,cpu
13,1704645808601,1704645814588,disk
13,1704645814589,1704645819755,memory
13,1704645819755,1704645827349,cpu
14,1704645832157,1704645839326,memory
14,1704645839327,1704645845212,cpu
14,1704645845212,1704645852025,disk
15,1704645884885,1704645892513,disk
15,1704645892513,1704645899280,cpu
15,1704645899280,1704645905639,memory
16,1704645929306,1704645935651,disk
16,1704645935652,1704645940828,cpu
16,1704645940829,1704645948168,memory
17,1704645961089,1704645969519,disk
17,1704645969519,1704645976350,memory
17,1704645976351,1704645982128,cpu
18,1704646015897,1704646021772,cpu
18,1704646021772,1704646027065,disk
18,1704646027066,1704646032459,memory
19,1704646055485,1704646061158,cpu
19,1704646061158,1704646067524,disk
19,1704646067525,1704646073662,memory
20,1704646092792,1704646098208,memory
20,1704646098208,1704646105392,cpu
20,1704646105393,1704646111151,disk
21,1704646113603,1704646119398,memory
21,1704646119399,1704646126884,disk
21,1704646126885,1704646134758,cpu
22,1704646143258,1704646150368,memory
22,1704646150369,1704646156536,cpu
22,1704646156537,1704646163736,disk
23,1704646181449,1704646188823,disk
23,1704646188824,1704646195297,cpu
23,1704646195297,1704646202932,memory
24,1704646240801,1704646248172,cpu
24,1704646248173,1704646255829,disk
24,1704646255830,1704646263079,memory
25,1704646272644,1704646280236,cpu
25,1704646280236,1704646287268,disk
25,1704646287269,1704646293483,memory
26,1704646314630,1704646321187,cpu
26,1704646321188,1704646327999,disk
26,1704646327999,1704646334579,memory
27,1704646354318,1704646362278,memory
27,1704646362278,1704646368072,cpu
27,1704646368073,1704646374511,disk
28,1704646425509,1704646431589,cpu
28,1704646431590,1704646437404,memory
28,1704646437405,1704646443168,disk
29,1704646479668,1704646486277,memory
29,1704646486278,1704646491970,disk
29,1704646491971,1704646499241,cpu
30,1704646515195,1704646521003,disk
30,1704646521003,1704646528983,memory
30,1704646528984,1704646536056,cpu
31,1704646594983,1704646600750,cpu
31,1704646600751,1704646606901,disk
31,1704646606901,1704646613621,memory
32,1704646632756,1704646640204,disk
32,1704646640204,1704646647945,memory
32,1704646647946,1704646653720,cpu
33,1704646677094,1704646683730,disk
33,1704646683730,1704646689013,cpu
33,1704646689013,1704646695227,memory
34,1704646753444,1704646758595,disk
34,1704646758596,1704646764189,memory
34,1704646764190,1704646770183,cpu
35,1704646836116,1704646841791,cpu
35,1704646841792,1704646848507,disk
35,1704646848508,1704646854259,memory
36,1704646904035,1704646910300,cpu
36,1704646910301,1704646918453,disk
36,1704646918453,1704646925470,memory
37,1704646983426,1704646991115,cpu
37,1704646991116,1704646996776,memory
37,1704646996776,1704647004700,disk
38,1704647058613,1704647064303,cpu
38,1704647064304,1704647070393,disk
38,1704647070393,1704647078353,memory
39,1704647097575,1704647103013,disk
39,1704647103014,1704647110051,memory
39,1704647110052,1704647117530,cpu
40,1704647118462,1704647125536,memory
40,1704647125537,1704647132718,disk
40,1704647132719,1704647138784,cpu
41,1704647164074,1704647169925,disk
41,1704647169926,1704647177607,cpu
41,1704647177608,1704647183842,memory
42,1704647238495,1704647245781,cpu
42,1704647245782,1704647251294,memory
42,1704647251294,1704647259532,disk
